date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:30	295/295	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Sep%202026%2015:25:30%20GMT	http://localhost/robots.txt		(from )
18:25:35	232489/232489	---MC-	200	added ('OK')	text/html	date:Wed,%2023%20Sep%202026%2015:25:30%20GMT	http://localhost/QB2/	C:/Users/QB/Desktop/yarob-wed-cv-qb/localhost/QB2/index.html	(from )
18:25:35	45410/45410	---M--	200	added ('OK')	image/jpeg	etag:%22b162-65bc118615610%22	http://localhost/QB2/wp-content/uploads/2026/09/FB_IMG_1789734564692.jpg	C:/Users/QB/Desktop/yarob-wed-cv-qb/localhost/QB2/wp-content/uploads/2026/09/FB_IMG_1789734564692.jpg	(from http://localhost/QB2/)
18:25:40	1790/1790	---M--	200	added ('OK')	application/rss+xml	etag:%227dd170f38786422533a46da4a7b9343f%22	http://localhost/QB2/feed/	C:/Users/QB/Desktop/yarob-wed-cv-qb/localhost/QB2/feed/index.html	(from http://localhost/QB2/)
18:25:41	2090/2090	---M--	200	added ('OK')	application/json	date:Wed,%2023%20Sep%202026%2015:25:36%20GMT	http://localhost/QB2/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2FQB2%2F	C:/Users/QB/Desktop/yarob-wed-cv-qb/localhost/QB2/wp-json/oembed/1.0/embed03bc.json	(from http://localhost/QB2/)
18:25:41	1639/1639	---M--	200	added ('OK')	application/rss+xml	etag:%227dd170f38786422533a46da4a7b9343f%22	http://localhost/QB2/comments/feed/	C:/Users/QB/Desktop/yarob-wed-cv-qb/localhost/QB2/comments/feed/index.html	(from http://localhost/QB2/)
18:25:44	2239/2239	---M--	200	added ('OK')	text/xml	date:Wed,%2023%20Sep%202026%2015:25:41%20GMT	http://localhost/QB2/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2FQB2%2F&format=xml	C:/Users/QB/Desktop/yarob-wed-cv-qb/localhost/QB2/wp-json/oembed/1.0/embed5ae1	(from http://localhost/QB2/)
18:25:44	44936/44936	---M--	200	added ('OK')	text/css	etag:%22af88-65bc03e74f484%22	http://localhost/QB2/wp-content/themes/astra/assets/css/minified/main.min-rtl.css?ver=4.13.12	C:/Users/QB/Desktop/yarob-wed-cv-qb/localhost/QB2/wp-content/themes/astra/assets/css/minified/main.min-rtl840b.css	(from http://localhost/QB2/)
18:25:45	83015/83015	---M--	200	added ('OK')	text/css	etag:%2214447-65bc07e566ed4%22	http://localhost/QB2/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.9.4	C:/Users/QB/Desktop/yarob-wed-cv-qb/localhost/QB2/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontendf0c3.css	(from http://localhost/QB2/)
18:25:45	776/776	---M--	200	added ('OK')	text/css	etag:%22308-65bc07e46ae8e%22	http://localhost/QB2/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.9.4	C:/Users/QB/Desktop/yarob-wed-cv-qb/localhost/QB2/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementorf0c3.css	(from http://localhost/QB2/)
